Food,Measure,Grams,Calories,Protein,Fat,SatFat,Fiber,Carbs,Category
Dana kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Buyuk boy sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Sarimsak,x,100.0,144.8,6.4,0.7,0.0,2.0,32.5,x
Yumurta,x,100.0,147.0,12.5,9.7,3.1,0.0,0.7,x
Tuz,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Karabiber,x,100.0,245.3,10.5,3.0,1.3,24.8,64.1,x
Kimyon,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
Pul biber,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Bayat ekmek kirintisi,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Sivi yag,x,100.0,883.0,0.0,100.8,6.6,0.0,0.0,x
Domates salcasi,x,100.0,81.3,4.3,0.5,0.1,4.1,18.8,x
Domates puresi,x,100.0,36.9,1.7,0.2,0.0,1.9,8.9,x
Tereyagi,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Sicak su,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
ispanak ,x,100.0,23.3,2.9,0.3,0.0,2.4,3.8,x
Patates,x,100.0,92.7,2.5,0.1,0.0,2.2,21.0,x
Zeytinyagi,x,100.0,869.2,0.0,101.2,13.9,0.0,0.0,x
Tuz ,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Bugday unu,x,100.0,357.8,10.4,1.0,0.2,2.7,77.7,x
Sut,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Rendelenmis kasar peyniri,x,100.0,405.3,22.9,32.7,18.8,0.0,3.2,x
Orta yagli kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Haslanmis pirinc,x,100.0,127.4,2.7,0.3,0.1,0.4,28.4,x
Aycicek yagi,x,100.0,870.1,0.0,99.5,9.8,0.0,0.0,x
Galeta unu,x,100.0,399.9,13.3,5.4,1.2,4.5,71.4,x
Orta yagli dana kiymasi,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Rendelenmis sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Maydanoz,x,100.0,36.1,2.9,0.8,0.3,3.5,6.2,x
Haslanmis nohut,x,100.0,166.1,8.9,2.6,0.3,7.5,27.8,x
Su,x,100.0,0,0,0,0,0,0,x
Yufka,x,100.0,294.0,7.1,6.1,1.5,1.9,53.6,x
Tereyag,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Kiyma,x,100.0,265.1,27.0,17.0,6.5,0.0,0.0,x
Yogurt,x,100.0,63.1,5.2,1.6,1.0,0.0,7.1,x
Salca,x,100.0,81.3,4.3,0.5,0.1,4.1,18.8,x
Bugday nisastasi,x,100.0,333.4,15.4,1.9,0.3,12.3,69.2,x
Sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Ekmek ici,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Toz seker,x,100.0,394.9,0.0,0.0,0.0,0.0,99.1,x
Kabartma tozu,x,100.0,54.1,0.0,0.0,0.0,0.2,27.5,x
Vanilin,x,100.0,0,0,0,0,0,0,x
Bal,x,100.0,0,0,0,0,0,0,x
Irmik,x,100.0,360.0,12.7,1.0,0.1,4.0,73.9,x
Limon suyu,x,100.0,16.5,0.4,0.0,0.0,0.8,5.5,x
Rendelenmis hindistan cevizi,x,100.0,455.3,3.2,28.3,26.3,9.9,52.3,x
Vanilya,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Muz,x,100.0,0,0,0,0,0,0,x
Toz antep fistigi,x,100.0,584.0,21.5,44.9,5.7,10.0,27.2,x
Kabak,x,100.0,20.5,0.7,0.1,0.0,1.1,4.9,x
Havuc,x,100.0,34.0,0.8,0.2,0.0,3.0,8.3,x
Taze sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Dereotu,x,100.0,44.3,3.0,1.0,0.0,2.0,7.1,x
Hazir kek,x,100.0,393.6,3.0,17.6,2.9,0.3,57.2,x
Granul kahve,x,100.0,1.0,0.1,0.0,0.0,0.0,0.0,x
Labne peyniri,x,100.0,203.6,6.3,18.8,11.4,0.0,3.5,x
Yumurta sarisi,x,100.0,312.7,15.9,27.0,9.6,0.0,3.6,x
Kakao,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6,x
Pirinc,x,100.0,127.4,2.7,0.3,0.1,0.4,28.4,x
Ilik su,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Kuru maya,x,100.0,0,0,0,0,0,0,x
Domates sos,x,100.0,24.6,1.2,0.3,0.0,1.5,5.4,x
Kekik,x,100.0,102.7,5.0,1.2,0.0,13.6,25.1,x
Feslegen,x,100.0,24.4,4.0,0.0,0.0,2.0,2.0,x
Rendelenmis mozarella peyniri,x,100.0,300.8,22.4,22.7,13.2,0.0,2.2,x
Sucuk,x,100.0,321.9,18.4,26.9,8.8,0.0,1.4,x
Konserve misir,x,100.0,93.9,3.4,1.5,0.2,2.4,21.0,x
Zeytin,x,100.0,113.8,0.8,10.5,1.4,3.3,6.4,x
Biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Kirmizi mercimek,x,100.0,112.8,9.0,0.4,0.1,7.8,19.4,x
Ince bulgur,x,100.0,333.4,15.4,1.9,0.3,12.3,69.2,x
Biber salcasi,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Tereyagi ,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Pudra sekeri,x,100.0,391.1,0.0,0.0,0.0,0.0,98.1,x
Yumurta beyazi,x,100.0,52.9,10.9,0.2,0.0,0.0,0.7,x
Sirke,x,100.0,18.1,0.0,0.0,0.0,0.0,0.1,x
Beyaz peynir,x,100.0,264.9,14.2,21.2,15.0,0.0,4.2,x
Susam,x,100.0,0,0,0,0,0,0,x
Petibor biskuvi,x,100.0,358.9,7.0,16.5,4.3,1.5,44.6,x
Kuzu but ,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Orta boy kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Orta boy domates,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Kasar peyniri,x,100.0,405.3,22.9,32.7,18.8,0.0,3.2,x
Orta boy patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Taze cekilmis tane karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Tavuk budu,x,100.0,180.5,24.0,8.9,2.4,0.0,0.0,x
Defne yapragi,x,100.0,0,0,0,0,0,0,x
Tel sehriye,x,100.0,158.8,5.9,0.9,0.2,1.8,30.7,x
Nane ,x,100.0,405.2,0.0,0.0,0.0,0.0,98.6,x
Kusbasi tavuk gogsu,x,100.0,166.2,31.0,3.5,1.0,0.0,0.0,x
Tane karabiber,x,100.0,254.5,10.5,3.0,1.3,25.2,63.0,x
Soguk sut,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Muskat cevizi rendesi,x,100.0,527.5,5.9,36.4,26.2,20.7,49.0,x
Tavuk gogsu,x,100.0,166.2,31.0,3.5,1.0,0.0,0.0,x
Yesil biber,x,100.0,27.5,0.9,0.2,0.0,1.2,6.8,x
Kirmizi biber,x,100.0,27.8,0.9,0.2,0.0,1.2,6.8,x
Dogranmis domates,x,100.0,18.5,0.9,0.2,0.0,1.2,3.9,x
Kuru nane,x,100.0,405.2,0.0,0.0,0.0,0.0,98.6,x
Kirmizi kapya biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Tavuk baget,x,100.0,222.6,23.7,12.9,3.7,0.0,0.0,x
Taze biberiye,x,100.0,335.6,5.0,14.8,7.5,42.0,64.1,x
Domates,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Sandvic ekmegi,x,100.0,259.2,8.9,3.4,0.7,2.6,48.7,x
Tavuk bonfile,x,100.0,144.8,29.8,3.3,1.0,0.0,0.0,x
Kapya biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Sari dolmalik biber,x,100.0,27.6,0.9,0.2,0.0,1.2,6.8,x
Fasulye,x,100.0,91.3,4.7,0.4,0.1,4.1,21.3,x
Soya sosu,x,100.0,0,0,0,0,0,0,x
Toz kirmizi biber,x,100.0,27.8,0.9,0.2,0.0,1.2,6.8,x
Beyaz biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Kirmizi ya da sari mercimek,x,100.0,112.4,9.1,0.4,0.1,7.9,19.3,x
Kirmizi toz biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Kuru kekik,x,100.0,102.7,5.0,1.2,0.0,13.6,25.1,x
Dogranmis dereotu,x,100.0,44.3,3.0,1.0,0.0,2.0,7.1,x
Avokado,x,100.0,0,0,0,0,0,0,x
Eritilmis bitter cikolata,x,100.0,542.0,4.8,31.9,18.7,7.0,60.9,x
Suzme yogurt,x,100.0,64.2,5.3,1.6,1.0,0.0,7.2,x
Yaban mersini,x,100.0,55.7,0.7,0.0,0.0,2.2,14.8,x
cilek,x,100.0,31.9,0.7,0.3,0.0,2.0,7.7,x
Chia tohumu,x,100.0,475.3,16.6,30.9,3.4,34.0,42.3,x
cig badem,x,100.0,592.9,20.8,49.0,4.1,12.5,21.3,x
Tam bugday unu,x,100.0,332.1,13.3,2.5,0.4,10.9,71.5,x
Lor peyniri,x,100.0,100.1,11.0,4.3,1.7,0.0,3.4,x
Kavun,x,100.0,33.6,0.8,0.2,0.1,0.9,8.3,x
Nisasta,x,100.0,0,0,0,0,0,0,x
Hindistan cevizi rendesi,x,100.0,455.3,3.2,28.3,26.3,9.9,52.3,x
Ezilmis sarimsak,x,100.0,144.8,6.4,0.7,0.0,2.0,32.5,x
Rendelenmis mozarella,x,100.0,295.5,22.1,22.6,13.1,0.0,2.2,x
Hurma,x,100.0,288.3,2.4,0.4,0.0,8.2,75.4,x
Yulaf,x,100.0,368.3,13.2,6.4,1.1,10.3,67.0,x
Hindistan cevizi,x,100.0,455.3,3.2,28.3,26.3,9.9,52.3,x
Hindistan cevizi yagi,x,100.0,881.6,0.0,98.8,83.1,0.0,0.0,x
Fistik ezmesi,x,100.0,579.7,22.1,49.6,9.6,5.6,24.0,x
Bitter cikolata,x,100.0,542.0,4.8,31.9,18.7,7.0,60.9,x
Yulaf sutu,x,100.0,368.3,13.2,6.4,1.1,10.3,67.0,x
Tarcin,x,100.0,247.4,3.9,1.1,0.4,53.8,80.4,x
Cherry domates,x,100.0,17.8,0.9,0.2,0.0,1.2,3.9,x
Biberiye,x,100.0,335.6,5.0,14.8,7.5,42.0,64.1,x
Maydanoz ,x,100.0,36.1,2.9,0.8,0.3,3.5,6.2,x
Mantar,x,100.0,28.0,2.1,0.5,0.1,2.1,5.3,x
Krem peynir,x,100.0,342.0,6.2,34.0,20.1,0.0,5.5,x
cig sut,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Elma sirkesi,x,100.0,20.7,0.0,0.0,0.0,0.0,0.9,x
Buyuk mantar,x,100.0,28.0,2.1,0.5,0.1,2.1,5.3,x
Dolmalik yesil biber,x,100.0,27.5,0.9,0.2,0.0,1.2,6.8,x
Dolmalik sari biber,x,100.0,27.6,1.0,0.2,0.0,0.9,6.2,x
Patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Kucuk boy karnabahar,x,100.0,22.4,1.8,0.5,0.1,2.3,4.1,x
Orta boy patates,x,100.0,92.7,2.5,0.1,0.0,2.2,21.0,x
Kereviz sapi,x,100.0,17.9,0.8,0.2,0.1,1.6,4.0,x
Sicak et suyu,x,100.0,37.1,2.5,1.2,0.3,0.0,3.5,x
Kruton ,x,100.0,0,0,0,0,0,0,x
Olgun muz,x,100.0,89.4,1.1,0.3,0.1,2.6,23.2,x
Ceviz ici,x,100.0,635.9,15.2,65.0,5.9,6.9,13.8,x
Yer fistigi ezmesi,x,100.0,579.7,22.1,49.6,9.6,5.6,24.0,x
Arpa sehriye,x,100.0,124.8,2.2,0.4,0.1,3.9,28.6,x
Kozlenmis kirmizi biber tursusu,x,100.0,148.7,0.8,14.1,1.9,1.8,5.4,x
Kornison tursu,x,100.0,89.4,0.6,0.4,0.1,1.0,20.8,x
Haslanmis misir,x,100.0,93.9,3.4,1.5,0.2,2.4,21.0,x
