Food,Measure,Grams,Calories,Protein,Fat,SatFat,Fiber,Carbs,Category,Id,Price,Img_url
inek sutu,1 qt.,976,660,32,40,36,0,48,Sut urunleri,1,11.00,https://sutmarketi.com/wp-content/uploads/2020/07/gunluk-cig-inek-sutu-1.jpg
yagsiz sut,1 qt.,984,360,36,0,0,0,52,Sut urunleri,2,25.00,https://st.myideasoft.com/idea/if/83/myassets/products/127/sm-urun-gorselleri-sut-ve-krema-514500-sut-light-1l.jpg?revision=1638262888
ayran,1 su bardagi,246,127,9,5,4,0,13,Sut urunleri,3,24.00,https://images.migrosone.com/sanalmarket/product/11550470/sutas-pratik-sise-ayran-1-l-6ffab1-1650x1650.jpg
sut tozu,1 su bardagi,103,515,27,28,24,0,39,Sut urunleri,4,20.00,https://productimages.hepsiburada.net/s/39/375/10618462797874.jpg
keci sutu,1 su bardagi,244,165,8,10,8,0,11,Sut urunleri,5,11.00,https://productimages.hepsiburada.net/s/19/375/9845867413554.jpg
kakao,1 su bardagi,252,235,8,11,10,0,26,Sut urunleri,6,160.00,https://productimages.hepsiburada.net/s/44/375/10819129081906.jpg
misir nisastasi,1 su bardagi,248,275,9,10,9,0,40,Sut urunleri,7,90.00,https://productimages.hepsiburada.net/s/20/375/9895870693426.jpg
buzlu sut,1 su bardagi,190,275,9,10,9,0,32,Sut urunleri,8,25.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmbSDXBTusz6wicB2EyHNYh4t5j1bc_jyz8w&usqp=CAU
krema,1/2 su bardagi,120,170,4,15,13,0,5,Sut urunleri,9,106.00,https://cdn.dsmcdn.com/ty182/product/media/images/20210922/17/135328587/72710635/1/1_org_zoom.jpg
peynir,1 kase,225,240,30,11,10,0,6,Sut urunleri,10,170.00,https://st.myideasoft.com/idea/if/83/myassets/products/164/sm-urun-gorselleri-peynirler-320500-beyaz-peynir-1000g.jpg?revision=1638259326
cheddar,1/2 kap,56,226,14,19,17,0,1,Sut urunleri,11,210.00,https://productimages.hepsiburada.net/s/93/375/110000035664500.jpg
krem peynir,1 oz.,28,105,2,11,10,0,1,Sut urunlerii,12,149.00,https://iis-akakce.akamaized.net/p.z?%2F%2Fkapida%2Eakinoncdn%2Ecom%2Fproducts%2F2020%2F11%2F09%2F28007%2F1ab70c7f%2D2e36%2D4ca0%2Da314%2De27ac0d63a60%2Ejpg
yumurta sarisi,2,34,120,6,10,8,0,0,Yaglar,13,374.00,https://st3.myideasoft.com/shop/cr/25/myassets/products/191/yumurta-sarisi-tozu.png?revision=1582035650
tereyagi,1/2 su bardagi,112,113,114,115,116,117,118,Kati ve sivi yaglar,14,255.00,https://productimages.hepsiburada.net/s/49/375/11000953667634.jpg
margarin,1/2 su bardagi,112,806,0,91,76,0,0,Yaglar,15,49.00,https://cdn.akakce.com/bizim/bizim-250-gr-paket-z.jpg
mayonez,1 T.,15,110,0,12,5,0,0,Yaglar,16,55.00,https://www.marketradari.com/wp-content/uploads/2022/01/wp-16421506449644428286479603851016-scaled-e1642151137900.jpg
misir yagi,1 T.,14,125,0,14,5,0,0,Yaglar,17,50.00,https://productimages.hepsiburada.net/s/10/375/9223040663602.jpg
sigir eti,3 oz.,85,245,23,16,15,0,0,Et,18,630.00,https://st.myideasoft.com/idea/ad/25/myassets/products/596/dana-kemikli-et-kg.jpeg?revision=1593253286
biftek,3 oz.,85,330,20,27,25,0,0,Et,19,360.00,https://images.migrosone.com/sanalmarket/product/25010045/25010045-ecddca-1650x1650.jpg
jambon,2 oz.,57,170,13,13,11,0,0,Et,20,670.00,https://cdn.akakce.com/namet/namet-150-gr-dilimli-dana-z.jpg
dana eti,3 oz.,85,185,23,9,8,0,0,Et,21,293.00,https://cdn.cimri.io/market/260x260/1-kg-dana-kusbasi-_286488.jpg
istiridye,3 oz.,85,87,12,1,0,0,2,Balik,22,30.00,https://ae01.alicdn.com/kf/HTB1C5X5aiAnBKNjSZFvq6yTKXXai/Istiridye-inciler-nan-lmaz-fiyat-50-adet-ok-renkli-tatl-su-istiridye-inci-vakumlu-b-y.jpg
yengec eti,3 oz.,85,90,14,2,0,0,1,Balik,23,334.00,https://www.kapidabalik.com/wp-content/uploads/2021/08/MAVI-YENGEC-ETI-1.jpeg
istakoz,ortalama,100,92,18,1,0,0,0,Balik,24,1.719,https://www.balikye.com/resimler/products/61277-istakoz.jpg
istiridye baligi,6-8 orta,230,231,232,233,234,235,236,Balik,25,100.00,https://st.myideasoft.com/idea/ev/46/myassets/products/559/istiridye-500.png?revision=1673273077
somon,3 oz.,85,120,17,5,1,0,0,Balik,26,317.00,https://cdn.cimri.io/market/260x260/1-kg-dilim-turk-somonu-_98362.jpg
karides,3 oz.,85,110,23,1,0,0,0,Balik,27,153.00,https://cdn.akakce.com/balik-dunyasi/balik-dunyasi-500-gr-et-karides-z.jpg
